id,Latitude,Longitude
0,220049,144422
1,220151,144200
2,220294,143906
3,220092,141936
4,220331,142123
5,220692,142390
6,219963,144410
7,220184,144198
8,219553,143474
9,220050,142050
10,220321,142359
11,220112,142636
12,219154,141127
13,219055,141076
14,219207,141192
15,219760,144325
16,219590,145101
17,220002,144463
18,220909,143381
19,220677,142749
20,221195,143040
21,220013,144596
22,219390,144853
23,220118,144510
24,218655,144374
25,218733,144159
26,218810,144176
27,221595,142717
28,220522,144020
29,221477,142725
30,218971,145481
31,219104,145330
32,218838,145418
33,220592,143689
34,221225,143019
35,220888,143432
36,221004,143276
37,221018,143351
38,221192,143079
39,218325,144915
40,218827,145099
41,218361,144610
42,219771,142072
43,220401,142299
44,219868,142763
45,219868,144622
46,220207,143419
47,219949,144502
48,220313,142026
49,220177,142152
50,220638,143471
51,219096,143920
52,219019,143959
53,218723,144255
54,220387,142445
55,221061,142862
56,221014,143266
57,219969,142089
58,220187,142049
59,220180,142113
60,219677,144881
61,219280,145121
62,220173,144381
63,220197,144076
64,219285,144653
65,218827,143473
66,219386,141456
67,219064,141048
68,219594,141482
69,220137,144121
70,220280,143731
71,220175,143965
72,220259,142267
73,220168,142200
74,219892,141903
75,218392,144605
76,218538,144524
77,218913,144024
78,218577,144372
79,219000,145149
80,218951,144950
81,218607,144335
82,218523,144612
83,218659,144303
84,218843,145322
85,219061,145586
86,218701,145153
87,218592,143450
88,218035,144517
89,217939,144256
90,220335,143744
91,220273,143980
92,220462,143877
93,219829,142008
94,220016,142151
96,219183,141141
97,219335,141383
98,219863,141715
99,218660,143572
100,221226,142910
101,220563,143688
102,219599,143326
103,220236,144102
104,219917,144424
105,219172,145557
106,218860,145107
107,218345,144409
108,219458,145079
109,219639,144898
110,219725,144143
111,220039,141998
112,220389,142293
113,220027,142199
114,218967,145317
115,218839,145145
116,219137,145480
117,220747,143499
118,221083,143204
119,220528,143818
120,220592,143815
121,220399,143768
122,220279,143893
123,219486,143467
124,220142,143691
125,219505,143405
126,218799,145422
127,219849,144735
128,219844,144354
129,218755,144134
130,218852,143962
131,218889,144568
132,218987,143529
133,219290,144097
134,219120,143745
135,220881,143145
136,221223,143119
137,220994,143109
138,218468,144217
139,218579,144964
140,219037,144992
141,218550,143632
142,218416,143671
143,218424,143681
144,220743,142995
147,219755,144825
148,219214,143491
149,220074,144036
150,220819,143283
151,220959,143280
152,221107,143139
153,219339,141370
154,219252,141257
155,219667,141568
156,220914,142986
157,221380,142792
162,218401,144286
163,218367,144871
164,219059,145294
165,218074,144712
166,218434,143915
167,217931,144536
168,218639,144394
169,218857,144051
170,220110,143655
171,219706,141601
172,220331,142063
173,219718,141472
174,220378,142418
175,219676,142813
176,219747,142881
177,220766,143273
178,221251,142990
179,220711,143631
180,219302,143261
181,220359,143442
182,220758,143595
183,218585,143404
184,218177,143783
185,218453,143561
186,221127,143091
187,220378,143524
188,220781,143519
189,219466,141382
190,219780,141669
191,219680,141621
192,220594,142554
193,220008,141902
194,220881,143364
195,221523,142702
196,220088,141836
197,220935,143361
198,219885,143155
199,220469,143714
200,220074,144178
201,219188,143842
202,219033,143596
203,219034,143859
204,220345,142276
205,219602,143120
206,220498,142351
207,220308,142418
208,220239,142336
209,219654,143071
210,218987,143909
211,219007,143837
212,219001,143900
213,220152,142149
214,219386,141282
215,220226,142003
216,220187,143023
217,219835,143063
218,220015,142592
219,220854,143457
220,220994,143086
221,220651,143596
222,219522,143126
223,219655,142960
224,219836,142786
225,219855,144121
226,218818,144157
227,219189,143427
228,220045,144199
229,219782,144752
230,219418,145050
231,218676,144216
232,218237,144026
233,219000,142840
234,220516,143906
235,220860,143457
236,220587,143754
237,218829,140815
238,218792,140831
239,218760,140767
240,218519,143459
241,218690,143570
242,218321,144341
243,219840,142705
244,219973,142121
245,219778,143002
246,218964,145454
247,219048,145195
248,219783,144607
249,218708,140738
250,218742,140762
251,218824,140864
252,220609,143836
253,219676,144759
254,219448,144405
255,218861,143805
256,219172,143770
257,218847,144071
258,218314,144521
259,218674,143431
260,218102,144233
261,220762,143559
262,220677,143034
263,220570,143610
264,220885,143326
265,220950,143305
266,221223,142993
267,220578,143429
268,220781,142876
269,220765,142729
270,219714,144918
271,219757,144888
272,220302,143846
273,220188,143339
274,219025,143742
275,219089,143876
276,220299,143938
277,219589,144931
278,219756,144822
279,220204,143385
280,220784,143466
281,220326,143822
282,219596,144520
283,220376,144029
284,219568,143893
285,220273,144275
286,220100,144447
287,219805,144418
288,218119,144462
289,218249,144311
290,217999,144408
291,218360,143792
292,218776,144582
293,218122,144428
294,218796,144224
295,218906,144088
296,218976,144084
297,220026,143439
298,219700,144697
299,219646,144242
300,221092,142679
301,221019,142984
302,220479,142406
303,219937,144473
304,219246,143665
305,219427,143761
306,218620,144074
307,218807,144145
308,218400,144475
309,218224,144634
310,218624,143542
311,218345,143809
312,219605,143543
313,220116,144192
314,219899,144548
315,220315,143820
316,220428,143670
317,220401,143595
318,221005,143334
319,220698,143473
320,220859,143431
321,219698,141667
322,220197,142093
323,219813,141816
324,218854,140855
325,218804,140870
326,218805,140814
327,218821,143249
328,218611,143481
329,218103,144577
330,219163,143756
331,218514,144258
332,218985,143484
333,220829,143468
334,220210,143964
335,220595,143805
336,219769,142831
337,219507,141874
338,220317,142718
339,219311,144504
340,219544,144845
341,219630,144656
342,219628,141557
343,220287,142230
344,219700,141637
345,220334,143893
346,219355,145047
347,219417,144878
348,219564,141511
349,218525,144168
350,219479,141382
351,220983,143029
352,220635,142536
353,220352,142389
354,219556,141486
355,219342,141297
356,219227,141188
357,219335,141320
358,219466,141773
359,219715,141672
360,219228,143761
361,219017,143967
362,219054,143938
363,219784,143779
364,218971,144068
365,219334,143592
366,218785,144295
367,218635,143911
368,218930,144040
369,220192,144237
370,219524,145036
371,219731,144658
372,220115,142043
373,220080,142064
374,219420,141403
375,219829,142916
376,219938,144074
377,220145,143741
378,219526,143195
379,220200,142312
380,220161,142480
381,219464,141458
